iter	Passed	Remaining
775	975	281
776	975	280
777	976	278
778	977	277
779	978	276
780	980	274
781	981	273
782	982	272
783	983	270
784	983	269
785	984	268
786	985	266
787	986	265
788	987	264
789	988	262
790	989	261
791	990	260
792	991	258
793	992	257
794	992	256
795	993	254
796	994	253
797	995	252
798	996	250
799	997	249
800	998	248
801	999	246
802	1000	245
803	1001	244
804	1002	242
805	1002	241
806	1003	240
807	1004	238
808	1005	237
809	1006	236
810	1007	234
811	1008	233
812	1009	232
813	1010	230
814	1011	229
815	1011	228
816	1012	226
817	1013	225
818	1014	224
819	1015	222
820	1016	221
821	1017	220
822	1019	219
823	1020	218
824	1021	216
825	1022	215
826	1023	214
827	1024	212
828	1025	211
829	1026	210
830	1027	208
831	1028	207
832	1029	206
833	1030	205
834	1031	203
835	1032	202
836	1032	201
837	1034	199
838	1035	198
839	1036	197
840	1038	196
841	1039	194
842	1040	193
843	1040	192
844	1041	191
845	1043	189
846	1043	188
847	1044	187
848	1045	185
849	1046	184
850	1047	183
851	1048	182
852	1052	181
853	1053	180
854	1054	178
855	1054	177
856	1055	176
857	1056	174
858	1057	173
859	1058	172
860	1059	171
861	1060	169
862	1061	168
863	1061	167
864	1062	165
865	1063	164
866	1064	163
867	1065	162
868	1067	160
869	1069	159
870	1075	159
871	1076	158
872	1077	156
873	1078	155
874	1079	154
875	1081	153
876	1082	151
877	1083	150
878	1084	149
879	1085	147
880	1086	146
881	1087	145
882	1088	144
883	1088	142
884	1089	141
885	1090	140
886	1091	138
887	1091	137
888	1093	136
889	1094	135
890	1096	134
891	1097	132
892	1098	131
893	1099	130
894	1100	129
895	1101	127
896	1102	126
897	1103	125
898	1104	124
899	1104	122
900	1105	121
901	1106	120
902	1107	118
903	1108	117
904	1109	116
905	1112	115
906	1113	114
907	1114	112
908	1115	111
909	1116	110
910	1117	109
911	1118	107
912	1120	106
913	1121	105
914	1121	104
915	1122	102
916	1123	101
917	1125	100
918	1126	99
919	1127	98
920	1128	96
921	1129	95
922	1130	94
923	1130	93
924	1131	91
925	1132	90
926	1133	89
927	1133	87
928	1135	86
929	1136	85
930	1137	84
931	1137	83
932	1139	81
933	1140	80
934	1141	79
935	1142	78
936	1143	76
937	1143	75
938	1144	74
939	1145	73
940	1146	71
941	1147	70
942	1148	69
943	1149	68
944	1150	66
945	1151	65
946	1151	64
947	1153	63
948	1155	62
949	1156	60
950	1156	59
951	1157	58
